127.0.0.1 - - [05/Jul/2016:10:35:27 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:35:43 -0500] "GET /GDI/ HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:35:47 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:35:48 -0500] "GET /GDI/Login/validarSession.action HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:36:14 -0500] "POST /GDI/Login/Login HTTP/1.1" 200 8829
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:36:14 -0500] "GET /GDI/img/user.png HTTP/1.1" 200 23240
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:36:14 -0500] "GET /GDI/img/incidencia.png HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:36:14 -0500] "GET /GDI/img/reporte.png HTTP/1.1" 200 10430
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:36:14 -0500] "GET /GDI/img/configuracion.png HTTP/1.1" 200 19574
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:36:37 -0500] "GET /GDI/Usuario/Usuarios HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:36:54 -0500] "GET /GDI/Usuario/RegistroUsuario HTTP/1.1" 200 6833
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:36:54 -0500] "GET /GDI/js/Usuario/query.js HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:36:54 -0500] "GET /GDI/js/Usuario/validator.js HTTP/1.1" 200 4000
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:36:57 -0500] "GET /GDI/Area/listarAreaxResidencia?idResidencia=2 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:37:10 -0500] "GET /GDI/Login/LoginOut HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:37:10 -0500] "GET /GDI/Login/FormularioLogin.action HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:37:18 -0500] "POST /GDI/Login/Login HTTP/1.1" 200 5136
0:0:0:0:0:0:0:1 - - [05/Jul/2016:10:37:24 -0500] "GET /GDI/Incidencia/AtencionIncidencia.action?idIncidencia=17 HTTP/1.1" 200 7068
